pCD3z(),pSLP76(),pErk(),pS6()
6.98,17.99,8.07,19.63
17.24,7.46,3.14,8.18
10.78,3.2,0.03,8.88
13.19,13.04,36.04,191.69
33.56,37.18,18.44,36.99
16.62,3.23,3.06,5.93
4.63,29.98,7.15,35.23
5.52,0.9,0.45,1.93
17.27,8.33,3.57,17.98
2.03,6.71,1.21,2.49
10.26,16.93,6.26,22.74
5.61,6.43,10.3,16.57
4.58,6.31,7.95,9.46
11.45,7.09,5.94,12.34
19.8,12.68,5.2,13
22.95,9.57,3.99,13.91
