pCD3z(),pSLP76(),pErk(),pS6()
7.16,3.05,4.76,21
21.44,11.85,12.29,17.02
4.63,1.28,6.56,38.8
10.13,5.33,-0.4,6.75
22.47,13.5,5.07,13.09
9.71,5.2,9.53,13.93
4.79,1.95,3.65,4.74
24.81,31.82,26.29,25.69
9.58,6.15,2.55,3.11
6.59,6.09,7.01,4.57
0.96,-0.05,3.8,22.15
17.42,17.78,11.34,16.3
9.44,6.51,26.34,38.84
7.06,10.63,8.5,40.64
14.97,13.6,5.57,52.96
36.08,35.2,18.92,36.91
3.84,3.08,5.18,29.54
2.82,12.12,6.07,43.92
11.53,19.49,-0.64,4.03
18.62,3.88,2.02,24.88
10.78,10.08,5.18,64.55
2.24,0.92,1.4,1.78
6.98,12.99,11.07,11.63
19.24,7.46,9.14,14.18
10.78,3.2,4.03,14.88
7.19,12.04,18.04,212.69
30.56,23.18,16.44,23.99
13.62,5.23,3.06,5.93
5.63,16.98,14.15,51.23
6.52,3.9,-0.55,5.93
17.27,4.33,8.57,20.98
2.03,6.71,1.21,3.49
10.26,10.93,7.26,26.74
4.61,3.43,8.3,13.57
-0.42,5.31,6.95,6.46
9.45,11.09,2.94,14.34
11.8,12.68,6.2,11
11.95,8.57,4.99,18.91
