Syk(),Vav(),SykVav(),pVav(),SHP1(),SHP1PVav()
238,1,24,1437,1,163
181,2,34,1771,0,208
77,3,36,1329,1,158
158,2,21,2446,0,115
234,1,32,1944,1,165
193,0,20,2602,0,104
253,0,22,1440,0,153
183,5,52,1921,0,260
3,749,113,1029,1,279
95,7,64,1279,2,288
310,0,36,1709,0,182
445,0,34,1632,0,198
87,6,50,1001,0,237
111,0,17,1504,0,102
122,5,32,1564,0,158
250,0,27,1119,0,139
189,1,19,2332,0,102
2,691,154,1366,1,364
253,1,16,1323,0,79
349,1,66,1675,0,321
106,2,30,1466,0,178
150,6,56,1481,1,310
10,128,110,1543,0,175
136,0,25,2336,0,101
3,269,115,1284,0,227
188,0,54,1794,0,258
118,2,46,1222,1,231
323,0,23,1519,0,145
7,283,108,1252,1,207
182,2,54,1470,0,226
137,3,57,1636,1,309
212,1,21,1317,0,122
99,7,81,2028,0,261
119,6,62,1230,0,324
6,209,125,524,2,475
237,1,39,2246,0,172
1,1726,106,979,0,275
272,2,31,2321,0,140
119,2,42,1223,0,224
283,1,43,1126,0,245
186,1,30,1467,0,151
0,648,70,650,1,155
167,2,35,1858,0,171
248,1,35,1939,0,226
129,5,66,2053,0,280
151,1,26,2087,0,146
109,4,83,1533,0,375
185,4,30,2030,0,215
4,511,149,1423,0,336
1,828,79,707,0,186
264,2,45,1757,1,247
135,2,41,1514,0,273
284,1,18,1440,0,118
35,40,148,2339,1,250
4,405,167,2013,0,275
159,4,30,1827,0,146
228,1,37,2074,0,191
15,62,125,1278,0,320
95,3,42,1007,0,191
253,0,36,2113,0,179
124,7,43,1806,0,251
1,947,90,705,0,248
113,3,64,2264,0,215
0,1613,85,339,1,326
204,2,37,1903,1,223
77,11,77,1969,0,189
172,2,27,2614,0,156
170,1,12,1980,0,79
77,3,75,2169,0,140
180,2,48,1656,0,242
131,3,35,1655,0,197
3,490,129,1990,1,119
73,6,51,1479,0,171
140,1,22,1960,0,93
82,4,44,1497,0,152
157,0,42,2058,0,163
277,3,34,1666,0,206
381,2,24,1400,0,158
133,7,36,1740,0,162
133,4,37,1804,0,235
304,0,40,1869,0,242
50,22,127,1694,0,363
189,1,33,2736,0,144
135,2,31,1581,1,164
148,1,23,1448,0,93
101,7,51,874,0,267
207,2,56,1071,0,276
206,2,37,1965,0,150
135,3,36,1341,0,201
212,1,33,1709,0,222
2,729,93,1044,1,176
0,1259,159,1953,0,241
140,4,28,1310,0,152
424,1,42,1381,1,250
144,3,75,1877,0,334
191,0,47,1333,0,206
7,240,117,1743,1,166
260,7,46,3151,0,261
283,0,26,1675,0,171
220,3,32,2226,0,246
135,4,18,1522,0,120
1,710,103,961,0,242
112,6,52,1325,1,219
166,7,46,1697,1,284
284,3,37,1886,1,246
155,4,32,1596,1,173
121,3,49,1393,0,226
33,36,117,1842,0,229
146,4,33,1985,1,165
106,0,20,1565,1,118
121,3,63,1151,0,238
313,0,60,1418,2,349
